#nimeflow-catalogue	1	2026-08-02T12:23:55.584Z	10000	id,kind,romaji,english,syn,year,format,country,popularity,cover
20594	0	Sword Art Online II		SAO2~GGO	2014	TV	JP	446389	nx20594-FhRgZ1H9Istt.jpg
101338	0	Mob Psycho 100 II		Mob Psycho Hyaku	2019	TV	JP	443138	bx101338-rokVscjRYzdP.jpg
120120	0	Tokyo Revengers		Răzbunătorii din Tokio	2021	TV	JP	439976	bx120120-cWDmnmeEntSe.jpg
98659	0	Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e	Classroom of the Elite	Youjitsu~You-Zitsu	2017	TV	JP	439883	bx98659-WNyPLIZDpGGY.jpg
6547	0	Angel Beats!			2010	TV	JP	437967	bx6547-SYexAn5aFyss.png
151807	0	Ore dake Level Up na Ken	Solo Leveling	Na Honjaman Level Up	2024	TV	JP	434159	bx151807-it355ZgzquUd.png
131681	0	Shingeki no Kyojin: The Final Season Part 2	Attack on Titan Final Season Part 2	SnK 4~AoT 4	2022	TV	JP	432611	bx131681-5ooUqvqNtee1.jpg
112641	0	Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen	Kaguya-sama: Love is War?		2020	TV	JP	428933	bx112641-zoGC8d6FaPXU.jpg
131573	0	Jujutsu Kaisen 0		JJK 0~Jujutsu Kaisen Movie	2021	MOVIE	JP	427287	bx131573-rpl82vDEDRm6.jpg
20997	0	Charlotte			2015	TV	JP	427174	bx20997-axVYrsIfjtYJ.jpg
10620	0	Mirai Nikki	The Future Diary		2011	TV	JP	425927	bx10620-dUZeNej0W4QN.png
132405	0	Sono Bisque Doll wa Koi wo Suru	My Dress-Up Darling	Sono Kisekae Ningyou wa Koi wo suru~kisekoi	2022	TV	JP	419075	bx132405-qP7FQYGmNI3d.jpg
21311	0	Bungou Stray Dogs	Bungo Stray Dogs	BSD	2016	TV	JP	415668	bx21311-hAXyT8Yoh6G9.jpg
18679	0	Kill la Kill		Kiru Ra Kiru~KLK	2013	TV	JP	410164	b18679-lbkq7iYESoFW.png
117193	0	Boku no Hero Academia 5	My Hero Academia Season 5	BNHA 5~MHA 5	2021	TV	JP	408795	bx117193-E75BlZmDh1aB.jpg
20850	0	Tokyo Ghoul √A		Tokyo Kushu 2~Tokyo Ghoul Root A	2015	TV	JP	401715	bx20850-glDf9EMKeCwe.jpg
97986	0	Made in Abyss			2017	TV	JP	399626	bx97986-TQ7dCgbS3y5s.jpg
20923	0	Shokugeki no Souma	Food Wars!		2015	TV	JP	398835	bx20923-pNT38pjW3RFH.jpg
20832	0	Overlord			2015	TV	JP	398127	bx20832-vUNm5zrYWifc.jpg
20992	0	Haikyuu!! 2nd Season	HAIKYU!! 2nd Season		2015	TV	JP	394165	bx20992-aHgNbcalVEqk.png
15809	0	Hataraku Maou-sama!	The Devil is a Part-Timer!	Raja Iblis Nyambi!	2013	TV	JP	391885	bx15809-ECv3HyOYJKrk.jpg
20920	0	Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka	Is It Wrong to Try to Pick Up Girls in a Dungeon?	Danmachi~Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth	2015	TV	JP	391616	bx20920-MTREwZOG4BAD.jpg
9989	0	Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.	Anohana: The Flower We Saw That Day	We Still Don't Know the Name of the Flower We Saw That Day.~AnoHana: ancora non conosciamo il nome del fiore che abbiamo visto quel giorno	2011	TV	JP	390149	bx9989-hImMg6kCMm6I.jpg
3588	0	Soul Eater			2008	TV	JP	386825	bx3588-fSMggQoFSbUI.png
11111	0	Another			2012	TV	JP	380201	bx11111-gvvE5bBYsyFo.png
14813	0	Yahari Ore no Seishun Love Come wa Machigatteiru.	My Teen Romantic Comedy SNAFU	Oregairu~My youth romantic comedy is wrong as I expected.	2013	TV	JP	375327	bx14813-3mNvcKNEQcDs.jpg
120377	0	Cyberpunk: Edgerunners		Cyberpunk: Mercenários	2022	ONA	JP	374920	bx120377-ayZPoxiWt4Li.jpg
6702	0	FAIRY TAIL			2009	TV	JP	374674	b6702-KI4qgSMyI8Pm.png
171018	0	Dandadan			2024	TV	JP	374627	bx171018-60q1B6GK2Ghb.jpg
2001	0	Tengen Toppa Gurren Lagann	Gurren Lagann	Heavenly Breakthrough Gurren Lagann~TTGL	2007	TV	JP	373276	bx2001-XwRnjzGeFWRQ.png
108632	0	Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season	Re:ZERO -Starting Life in Another World- Season 2	Re:Zero kara Hajimeru Isekai Seikatsu (2020)	2020	TV	JP	372085	bx108632-lQWnmw7XaNOK.jpg
21699	0	Kono Subarashii Sekai ni Shukufuku wo! 2	KONOSUBA -God's blessing on this wonderful world! 2	Konosuba 2~Konosuba! - As Bençãos de Deus Neste Mundo Maravilhoso 2!	2017	TV	JP	371579	bx21699-Fkbnkl9ZC6fW.png
101347	0	Dororo			2019	TV	JP	369511	bx101347-TGaDwEYqLfm1.jpg
99750	0	Kimi no Suizou wo Tabetai	I Want to Eat Your Pancreas	Quiero Comerme tu Páncreas~Voglio mangiare il tuo pancreas	2018	MOVIE	JP	367577	bx99750-pNyly9d3MEgV.jpg
145139	0	Kimetsu no Yaiba: Katanakaji no Sato-hen	Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc	KnY 3~Demon Slayer: Kimetsu no Yaiba - Le village des forgerons	2023	TV	JP	365299	bx145139-rRimpHGWLhym.png
21170	0	Ansatsu Kyoushitsu 2nd Season	Assassination Classroom Second Season	Klasa skrytobójców 2~Assassination Classroom Season 2	2016	TV	JP	365126	bx21170-kbcfTTZGSaFt.jpg
21698	0	Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou	HAIKYU!! 3rd Season	Haikyu!! Karasuno High vs Shiratorizawa Academy~Haikyuu!! 3	2016	TV	JP	358230	bx21698-RL71mr1YU5Io.png
431	0	Howl no Ugoku Shiro	Howl‘s Moving Castle	Hauru no Ugoku Shiro~Das wandelnde Schloss	2004	MOVIE	JP	357890	bx431-o8Lj3XkjHm2k.jpg
2904	0	Code Geass: Hangyaku no Lelouch R2	Code Geass: Lelouch of the Rebellion R2	Code Geass: Hangyaku no Lelouch 2nd Season~Code Geass: Hangyaku no Lelouch Second Season	2008	TV	JP	357587	bx2904-Fet9Q33suC7G.jpg
129874	0	Kimetsu no Yaiba: Mugen Ressha-hen (TV)	Demon Slayer: Kimetsu no Yaiba Mugen Train Arc	KnY 2~Demon Slayer: Kimetsu no Yaiba: Le train de l'Infini	2021	TV	JP	354402	bx129874-g6ZKXB94Hui1.jpg
128893	0	Jigokuraku	Hell’s Paradise		2023	TV	JP	353513	bx128893-Gc2t8b8M0mVu.jpg
21804	0	Saiki Kusuo no Ψ-nan	The Disastrous Life of Saiki K.		2016	TV_SHORT	JP	352523	bx21804-As6tDLAvEvNY.jpg
13601	0	PSYCHO-PASS			2012	TV	JP	352183	bx13601-i42VFuHpqEOJ.jpg
106286	0	Tenki no Ko	Weathering With You	El Tiempo Contigo~Les enfants du temps	2019	MOVIE	JP	350365	bx106286-5COcpd0J9VbL.png
98460	0	DEVILMAN crybaby			2018	ONA	JP	347935	bx98460-bLtH2c3jd6sV.png
12189	0	Hyouka			2012	TV	JP	347926	bx12189-zj5AWUYO53Fv.jpg
14741	0	Chuunibyou demo Koi ga Shitai!	Love, Chunibyo & Other Delusions	Chu-2 Byo demo Koi ga Shitai!~Regardless of My Adolescent Delusions of Grandeur, I Want a Date!	2012	TV	JP	347862	bx14741-CGXEIeUe2roA.jpg
10087	0	Fate/Zero		F/Z	2011	TV	JP	344274	bx10087-M4Hd9qrHGrXk.png
20474	0	JoJo no Kimyou na Bouken: Stardust Crusaders	JoJo's Bizarre Adventure: Stardust Crusaders	Dai San Bu Kujo Jotaro: Mirai e no Isan~JoJo no Kimyou na Bouken Part 3: Stardust Crusaders	2014	TV	JP	339628	bx20474-xuqem5GBlBtb.jpg
5081	0	Bakemonogatari		Monster Tale~Monogatari	2009	TV	JP	337849	bx5081-9GocceQ5Z865.jpg
19	0	MONSTER			2004	TV	JP	335008	bx19-gtMC64182sm4.jpg
115230	0	Kami no Tou: Tower of God	Tower of God	Sinui Tap~TOG	2020	TV	JP	331702	bx115230-QHOdSN7yt8ab.jpg
113936	0	Dr. STONE: STONE WARS		Dr. STONE 2	2021	TV	JP	330993	bx113936-D4eYd4XwslVI.jpg
21776	0	Kobayashi-san Chi no Maidragon	Miss Kobayashi's Dragon Maid	Kobayashi-san Chi no Maid Dragon	2017	TV	JP	326405	bx21776-bwPaYKhnKfUs.png
